# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.tlab.slowWaste                                               false        pwd            10   thrpt    10        7283.400 ±      32449.656        ?
Benchmark.runApache_withoutThreads:·threads.alive                                                             false        pwd            10   thrpt    10          62.500 ±          8.765  threads
Benchmark.runApache_withoutThreads:·threads.daemon                                                            false        pwd            10   thrpt    10          61.500 ±          8.765  threads
Benchmark.runApache_withoutThreads:·threads.started                                                           false        pwd            10   thrpt    10          68.000                   threads
Benchmark.runApache_withoutThreads                                                                            false        pwd            20   thrpt    10           0.146 ±          0.013   ops/ms
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false        pwd            20   thrpt    10           1.400 ±          1.057        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false        pwd            20   thrpt    10  1178215703.500 ±  649972810.791        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false        pwd            20   thrpt    10  1177983641.900 ±  649716329.989        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false        pwd            20   thrpt    10     5696448.600 ±    4390715.929        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false        pwd            20   thrpt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.0.used                                    false        pwd            20   thrpt    10     5864578.400 ±   47166713.817        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.capacity                                false        pwd            20   thrpt    10       52428.800 ±    1809447.086        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false        pwd            20   thrpt    10      419120.000 ±    1071196.723        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false        pwd            20   thrpt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false        pwd            20   thrpt    10        9252.800 ±      12338.179        ?
